subID,condition,Hz,frontal,central,parietal,occipital,ln_Hz,ln_frontal,ln_central,ln_parietal,ln_occipital
oa01,ec,0.997,19.1307,24.84933333,16.43702,42.91126667,-0.003004509,2.951294375,3.212830925,2.799536108,3.759134418
oa01,ec,1.994,3.74176,4.926266667,4.48886,7.129466667,0.690142672,1.319556089,1.594581433,1.501598772,1.96423643
oa01,ec,2.991,1.8297,2.5773,2.5651,3.7105,1.09560778,0.604152019,0.946742339,0.941997464,1.311166638
oa01,ec,3.988,1.24304,1.697466667,1.5785,2.382066667,1.383289852,0.217559992,0.529136944,0.456475029,0.867968458
oa01,ec,4.985,0.85352,1.100933333,0.91234,1.3704,1.606433403,-0.158386304,0.096158305,-0.091742551,0.315102668
oa01,ec,5.982,0.66058,0.8115,0.59998,1.0498,1.78875496,-0.414637042,-0.208870892,-0.510858958,0.04859967
oa01,ec,6.979,0.44056,0.535166667,0.39696,0.724633333,1.94290564,-0.819708634,-0.625177054,-0.923919759,-0.322089499
oa01,ec,7.976,0.45796,0.525533333,0.42466,0.718466667,2.076437033,-0.780973435,-0.643341659,-0.85646643,-0.330635967
oa01,ec,8.973,0.47614,0.5604,0.46432,0.727,2.194220068,-0.74204335,-0.579104465,-0.767181309,-0.318828801
oa01,ec,9.97,0.43782,0.488866667,0.41042,0.6425,2.299580584,-0.825947412,-0.715665492,-0.890574253,-0.442388462
oa01,ec,10.967,0.44226,0.539933333,0.52158,0.776533333,2.394890764,-0.815857335,-0.616309604,-0.650892613,-0.25291571
oa01,ec,11.964,0.4918,0.592933333,0.6399,0.822033333,2.481902141,-0.709683149,-0.522673309,-0.446443365,-0.195974333
oa01,ec,12.961,0.53348,0.636533333,0.75158,0.955366667,2.561944848,-0.628333697,-0.451718493,-0.285577622,-0.045660068
oa01,ec,13.958,0.52748,0.602533333,0.75494,1.084933333,2.636052821,-0.639644329,-0.50661229,-0.281117003,0.081518541
oa01,ec,14.955,0.42584,0.504133333,0.59834,0.874,2.705045692,-0.85369159,-0.684914496,-0.513596125,-0.134674903
oa01,ec,15.952,0.37558,0.4499,0.49064,0.6417,2.769584213,-0.979283781,-0.798729943,-0.712044618,-0.443634374
oa01,ec,16.949,0.3803,0.479133333,0.51422,0.552,2.830208835,-0.966794864,-0.735776363,-0.66510409,-0.594207233
oa01,ec,17.946,0.3944,0.491233333,0.549,0.5423,2.887367249,-0.930389656,-0.710836043,-0.599656837,-0.611935925
oa01,ec,18.943,0.40944,0.5282,0.58022,0.534033333,2.94143447,-0.892964907,-0.638280279,-0.544347937,-0.62729702
oa01,ec,19.94,0.38152,0.4863,0.52798,0.438133333,2.992727765,-0.963592005,-0.720929562,-0.638696875,-0.825232001
oa01,ec,20.937,0.28826,0.382433333,0.42376,0.375066667,3.041517929,-1.243892428,-0.961200933,-0.858588022,-0.980651491
oa01,ec,21.934,0.2223,0.274666667,0.3447,0.375233333,3.088037944,-1.503727458,-1.292197038,-1.065080805,-0.980207224
oa01,ec,22.931,0.1766,0.220633333,0.26512,0.322433333,3.132489707,-1.733867991,-1.511253081,-1.327572725,-1.131858882
oa01,ec,23.928,0.16304,0.198266667,0.2281,0.2913,3.175049321,-1.81375971,-1.618142353,-1.47797115,-1.233401615
oa01,ec,24.925,0.16176,0.1913,0.19878,0.2522,3.215871316,-1.821641524,-1.653912403,-1.615556593,-1.377532855
